Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Brazil,2006,All ages,Both,All causes,"DALYs per 100,000",27785.51584,25055.52758,30934.53291
Brazil,2007,All ages,Both,All causes,"DALYs per 100,000",27623.51015,25005.72918,30285.05321
Brazil,2008,All ages,Both,All causes,"DALYs per 100,000",27467.46899,24867.00361,30159.6197
Brazil,2009,All ages,Both,All causes,"DALYs per 100,000",27381.01451,24730.18201,30026.88334
Brazil,2010,All ages,Both,All causes,"DALYs per 100,000",27278.62348,24411.59138,30416.26221
Brazil,2011,All ages,Both,All causes,"DALYs per 100,000",27232.8508,24496.57391,29906.51066
Brazil,2012,All ages,Both,All causes,"DALYs per 100,000",27165.72271,24474.6204,29885.59377
Brazil,2013,All ages,Both,All causes,"DALYs per 100,000",27120.81049,24389.9738,29859.77606
Brazil,2014,All ages,Both,All causes,"DALYs per 100,000",27132.70057,24392.66772,29863.51072
Brazil,2015,All ages,Both,All causes,"DALYs per 100,000",27163.24618,24473.47418,29873.45157
Brazil,2016,All ages,Both,All causes,"DALYs per 100,000",27210.3073,24214.59727,30422.76511
Egypt,1990,All ages,Both,All causes,"DALYs per 100,000",48366.3375,44443.3734,52396.32478
Egypt,1991,All ages,Both,All causes,"DALYs per 100,000",47012.77227,43730.97111,51096.36527
Egypt,1992,All ages,Both,All causes,"DALYs per 100,000",44838.15975,40685.91976,49131.88054
Egypt,1993,All ages,Both,All causes,"DALYs per 100,000",42511.53427,38683.41676,45927.27065
Egypt,1994,All ages,Both,All causes,"DALYs per 100,000",40861.5903,37594.96496,43990.54457
Egypt,1995,All ages,Both,All causes,"DALYs per 100,000",38828.29072,35642.13915,42302.21275
Egypt,1996,All ages,Both,All causes,"DALYs per 100,000",37149.6131,33661.92892,40332.54534
Egypt,1997,All ages,Both,All causes,"DALYs per 100,000",35900.13017,32328.54704,39056.40878
Egypt,1998,All ages,Both,All causes,"DALYs per 100,000",34770.92901,31181.84729,38378.78537
Egypt,1999,All ages,Both,All causes,"DALYs per 100,000",34044.94179,30468.91142,37461.61852
Egypt,2000,All ages,Both,All causes,"DALYs per 100,000",33149.57609,29742.30496,36577.20576
Egypt,2001,All ages,Both,All causes,"DALYs per 100,000",32992.09143,29552.35974,36090.53009
Egypt,2002,All ages,Both,All causes,"DALYs per 100,000",32634.0831,29411.64924,36089.8659
Egypt,2003,All ages,Both,All causes,"DALYs per 100,000",32337.24372,28599.60476,36209.41597
Egypt,2004,All ages,Both,All causes,"DALYs per 100,000",32013.70181,28067.83736,35866.49928
Egypt,2005,All ages,Both,All causes,"DALYs per 100,000",31720.42542,28389.16554,35340.84782
Egypt,2006,All ages,Both,All causes,"DALYs per 100,000",31650.51607,28392.31944,35183.36693
Egypt,2007,All ages,Both,All causes,"DALYs per 100,000",31280.97646,27842.094,34904.10064
Egypt,2008,All ages,Both,All causes,"DALYs per 100,000",31202.23764,27411.26377,34335.96117
Egypt,2009,All ages,Both,All causes,"DALYs per 100,000",31258.43133,27326.28377,34424.23799
Egypt,2010,All ages,Both,All causes,"DALYs per 100,000",31035.53117,27694.89933,34515.18905
Egypt,2011,All ages,Both,All causes,"DALYs per 100,000",30417.36413,26831.39407,33704.66586
Egypt,2012,All ages,Both,All causes,"DALYs per 100,000",29994.72024,26792.34291,33204.48327
Egypt,2013,All ages,Both,All causes,"DALYs per 100,000",29178.69109,26064.31835,32428.46202
Egypt,2014,All ages,Both,All causes,"DALYs per 100,000",28673.50436,25422.72776,31999.52365
Egypt,2015,All ages,Both,All causes,"DALYs per 100,000",28363.05507,24775.57119,31822.50574
Egypt,2016,All ages,Both,All causes,"DALYs per 100,000",27762.94473,24035.21834,31540.18699
India,1990,All ages,Both,All causes,"DALYs per 100,000",62220.57964,59049.55895,65458.59302
India,1991,All ages,Both,All causes,"DALYs per 100,000",60669.65643,57568.42638,63312.76011
India,1992,All ages,Both,All causes,"DALYs per 100,000",59264.87162,56160.84217,61801.30338
India,1993,All ages,Both,All causes,"DALYs per 100,000",57927.4114,54981.27594,60472.08429
India,1994,All ages,Both,All causes,"DALYs per 100,000",56627.45786,53687.74979,59245.89523
India,1995,All ages,Both,All causes,"DALYs per 100,000",55458.61664,52396.22306,58628.19144
India,1996,All ages,Both,All causes,"DALYs per 100,000",54335.24431,51421.64076,57059.9823
India,1997,All ages,Both,All causes,"DALYs per 100,000",53360.40749,50472.01313,56031.75572
India,1998,All ages,Both,All causes,"DALYs per 100,000",52320.1942,49520.87837,54982.49408
India,1999,All ages,Both,All causes,"DALYs per 100,000",51322.79061,48509.0281,54016.93249
India,2000,All ages,Both,All causes,"DALYs per 100,000",50351.26306,47493.60598,53530.15242
India,2001,All ages,Both,All causes,"DALYs per 100,000",49429.27018,46591.98331,52107.30623
India,2002,All ages,Both,All causes,"DALYs per 100,000",48388.08413,45580.70077,51111.08752
India,2003,All ages,Both,All causes,"DALYs per 100,000",47385.00324,44548.24116,50108.51054
India,2004,All ages,Both,All causes,"DALYs per 100,000",46470.55908,43602.75132,49142.63852
India,2005,All ages,Both,All causes,"DALYs per 100,000",45445.10648,42517.7572,48610.56968
India,2006,All ages,Both,All causes,"DALYs per 100,000",44392.69918,41443.67611,47538.26964
India,2007,All ages,Both,All causes,"DALYs per 100,000",43375.52848,40486.65295,46098.39357
India,2008,All ages,Both,All causes,"DALYs per 100,000",42365.1012,39462.10884,45098.67465
India,2009,All ages,Both,All causes,"DALYs per 100,000",41347.93216,38447.94114,44043.13007
India,2010,All ages,Both,All causes,"DALYs per 100,000",40389.14514,37470.24562,43602.44592
India,2011,All ages,Both,All causes,"DALYs per 100,000",39542.86326,36610.68325,42269.83516
India,2012,All ages,Both,All causes,"DALYs per 100,000",38653.57516,35737.50015,41429.07908
India,2013,All ages,Both,All causes,"DALYs per 100,000",37844.12817,34943.41993,40635.8023
India,2014,All ages,Both,All causes,"DALYs per 100,000",36948.38177,34053.93052,39763.44952
India,2015,All ages,Both,All causes,"DALYs per 100,000",36197.80688,33356.23907,39049.25165
India,2016,All ages,Both,All causes,"DALYs per 100,000",35434.9238,32539.74208,38774.96861
Angola,1990,All ages,Both,All causes,"DALYs per 100,000",111975.1682,99745.97903,124927.6402
Angola,1991,All ages,Both,All causes,"DALYs per 100,000",109029.798,97779.89459,120397.0936
Angola,1992,All ages,Both,All causes,"DALYs per 100,000",107219.8793,95678.63827,118403.9506
Angola,1993,All ages,Both,All causes,"DALYs per 100,000",110852.5704,99629.6546,124046.4638
Angola,1994,All ages,Both,All causes,"DALYs per 100,000",104070.0608,92782.59416,115165.9837
Angola,1995,All ages,Both,All causes,"DALYs per 100,000",99715.70403,88323.63711,112214.6121
Angola,1996,All ages,Both,All causes,"DALYs per 100,000",97375.697,86706.24508,108592.8515
Angola,1997,All ages,Both,All causes,"DALYs per 100,000",95743.7406,84163.98616,107703.5841
Angola,1998,All ages,Both,All causes,"DALYs per 100,000",94875.31628,82406.29462,106805.1587
Angola,1999,All ages,Both,All causes,"DALYs per 100,000",94355.3749,83444.98165,105164.0867
Angola,2000,All ages,Both,All causes,"DALYs per 100,000",92689.14243,82594.62508,103750.7821
Angola,2001,All ages,Both,All causes,"DALYs per 100,000",91239.62906,82924.09902,101407.0273
Angola,2002,All ages,Both,All causes,"DALYs per 100,000",87541.73823,79060.4746,96554.10431
Angola,2003,All ages,Both,All causes,"DALYs per 100,000",84209.62125,77310.07407,93780.28936
Angola,2004,All ages,Both,All causes,"DALYs per 100,000",80879.46922,74155.19126,89473.13309
Angola,2005,All ages,Both,All causes,"DALYs per 100,000",77345.5233,68884.19586,86626.21108
Angola,2006,All ages,Both,All causes,"DALYs per 100,000",75252.27026,67019.83887,84046.10332
Angola,2007,All ages,Both,All causes,"DALYs per 100,000",71207.93683,63578.97322,78671.87893
Angola,2008,All ages,Both,All causes,"DALYs per 100,000",68110.58355,60957.5723,75517.68368
Angola,2009,All ages,Both,All causes,"DALYs per 100,000",65384.24167,59119.35769,72341.91732
Angola,2010,All ages,Both,All causes,"DALYs per 100,000",62257.77072,54298.20211,71109.90407
Angola,2011,All ages,Both,All causes,"DALYs per 100,000",58745.92136,48940.0959,67255.17283
Angola,2012,All ages,Both,All causes,"DALYs per 100,000",55166.43742,45591.1337,63210.45985
Angola,2013,All ages,Both,All causes,"DALYs per 100,000",51833.77933,42646.60407,61234.71712
Angola,2014,All ages,Both,All causes,"DALYs per 100,000",48746.02157,40189.3613,58786.8277
Angola,2015,All ages,Both,All causes,"DALYs per 100,000",46136.60418,37788.35197,56060.50987
Angola,2016,All ages,Both,All causes,"DALYs per 100,000",43628.00642,35419.37163,53251.2762
Kenya,1990,All ages,Both,All causes,"DALYs per 100,000",57936.85236,55454.00956,60721.56685
Kenya,1991,All ages,Both,All causes,"DALYs per 100,000",58537.72471,56207.98802,60981.77493
Kenya,1992,All ages,Both,All causes,"DALYs per 100,000",59587.35735,57101.90832,62176.21109
Kenya,1993,All ages,Both,All causes,"DALYs per 100,000",60983.20395,58394.50708,63778.84102
Kenya,1994,All ages,Both,All causes,"DALYs per 100,000",62563.66914,60017.83612,65327.50444
Kenya,1995,All ages,Both,All causes,"DALYs per 100,000",64181.45454,61233.06421,67248.17768
Kenya,1996,All ages,Both,All causes,"DALYs per 100,000",65179.65662,62428.88471,68103.47921
Kenya,1997,All ages,Both,All causes,"DALYs per 100,000",66234.94525,63546.37521,69017.70308
Kenya,1998,All ages,Both,All causes,"DALYs per 100,000",67054.19624,64348.22804,69684.54754
Kenya,1999,All ages,Both,All causes,"DALYs per 100,000",66571.93858,63761.92778,69237.90505
Kenya,2000,All ages,Both,All causes,"DALYs per 100,000",66274.95545,63232.97832,69416.24684
Kenya,2001,All ages,Both,All causes,"DALYs per 100,000",65146.02543,62411.37093,68004.38871
Kenya,2002,All ages,Both,All causes,"DALYs per 100,000",63995.47489,61411.96379,66883.86904
Kenya,2003,All ages,Both,All causes,"DALYs per 100,000",62622.5248,60077.52565,65484.52197
Kenya,2004,All ages,Both,All causes,"DALYs per 100,000",60861.77447,58442.9528,63562.24079
Kenya,2005,All ages,Both,All causes,"DALYs per 100,000",58527.22042,55774.19726,61477.76202
Kenya,2006,All ages,Both,All causes,"DALYs per 100,000",55756.29451,53164.12417,58614.00605
Kenya,2007,All ages,Both,All causes,"DALYs per 100,000",52875.07514,50596.54395,55335.77374
Kenya,2008,All ages,Both,All causes,"DALYs per 100,000",50172.58184,47914.9853,52575.02628
Kenya,2009,All ages,Both,All causes,"DALYs per 100,000",47839.76945,45482.64781,50203.8044
Kenya,2010,All ages,Both,All causes,"DALYs per 100,000",45490.16307,42922.04986,48323.09474
Kenya,2011,All ages,Both,All causes,"DALYs per 100,000",43159.96408,40681.67136,45601.32868
Kenya,2012,All ages,Both,All causes,"DALYs per 100,000",41251.08527,38792.23096,43720.5154
Kenya,2013,All ages,Both,All causes,"DALYs per 100,000",39731.01577,37312.07026,42297.85612
Kenya,2014,All ages,Both,All causes,"DALYs per 100,000",38100.98528,35683.47896,40727.66022
Kenya,2015,All ages,Both,All causes,"DALYs per 100,000",36811.94799,34413.87892,39392.28188
Kenya,2016,All ages,Both,All causes,"DALYs per 100,000",35730.4079,33344.81983,38626.51742
South Africa,1990,All ages,Both,All causes,"DALYs per 100,000",47254.74496,44051.26545,50826.99133
South Africa,1991,All ages,Both,All causes,"DALYs per 100,000",46268.33765,43250.60898,49337.80767
South Africa,1992,All ages,Both,All causes,"DALYs per 100,000",46180.30441,43217.91376,49049.53847
South Africa,1993,All ages,Both,All causes,"DALYs per 100,000",45189.36349,42343.79933,48162.7226
South Africa,1994,All ages,Both,All causes,"DALYs per 100,000",45534.94738,42908.96058,48654.37719
South Africa,1995,All ages,Both,All causes,"DALYs per 100,000",46217.42246,42876.57054,49510.05372
South Africa,1996,All ages,Both,All causes,"DALYs per 100,000",48454.92382,45447.96333,52149.10811
South Africa,1997,All ages,Both,All causes,"DALYs per 100,000",51968.49383,48921.52742,56144.276
South Africa,1998,All ages,Both,All causes,"DALYs per 100,000",55616.92904,52254.79654,59892.39581
South Africa,1999,All ages,Both,All causes,"DALYs per 100,000",60338.03008,56527.14321,64867.36755
South Africa,2000,All ages,Both,All causes,"DALYs per 100,000",66600.99614,62110.64412,71267.15186
South Africa,2001,All ages,Both,All causes,"DALYs per 100,000",70098.20679,65785.73256,75119.08673
South Africa,2002,All ages,Both,All causes,"DALYs per 100,000",74220.16004,70035.62973,79320.33144
South Africa,2003,All ages,Both,All causes,"DALYs per 100,000",77866.74611,73319.48159,83110.72746
South Africa,2004,All ages,Both,All causes,"DALYs per 100,000",80530.15141,76329.59192,85616.25422
South Africa,2005,All ages,Both,All causes,"DALYs per 100,000",82143.24506,76788.10733,87927.15745
South Africa,2006,All ages,Both,All causes,"DALYs per 100,000",82492.75032,77080.83296,88189.86995
South Africa,2007,All ages,Both,All causes,"DALYs per 100,000",81101.25335,76400.14481,86360.15138
South Africa,2008,All ages,Both,All causes,"DALYs per 100,000",78916.87864,74366.654,84208.5353
South Africa,2009,All ages,Both,All causes,"DALYs per 100,000",75985.70544,71745.05324,80971.28711
South Africa,2010,All ages,Both,All causes,"DALYs per 100,000",72363.73055,67619.70963,77252.56613
South Africa,2011,All ages,Both,All causes,"DALYs per 100,000",67846.16821,64246.17531,71912.48465
South Africa,2012,All ages,Both,All causes,"DALYs per 100,000",62998.51101,59277.87912,66759.6505
South Africa,2013,All ages,Both,All causes,"DALYs per 100,000",58662.79197,54898.21017,62327.10156
South Africa,2014,All ages,Both,All causes,"DALYs per 100,000",55516.92929,51907.02478,59408.82041
South Africa,2015,All ages,Both,All causes,"DALYs per 100,000",53212.74874,49822.19959,57025.73843
South Africa,2016,All ages,Both,All causes,"DALYs per 100,000",52151.72406,48073.51961,56940.46502
Ghana,1990,All ages,Both,All causes,"DALYs per 100,000",68712.91023,63277.6615,74205.29014
Ghana,1991,All ages,Both,All causes,"DALYs per 100,000",67306.5999,61331.71378,73233.20618
Ghana,1992,All ages,Both,All causes,"DALYs per 100,000",65924.96159,59906.14198,71826.16326
Ghana,1993,All ages,Both,All causes,"DALYs per 100,000",64196.00823,58479.15477,70045.20132
Ghana,1994,All ages,Both,All causes,"DALYs per 100,000",63899.05468,58408.76702,69601.75381
Ghana,1995,All ages,Both,All causes,"DALYs per 100,000",62327.23292,56744.16949,68064.55121
Ghana,1996,All ages,Both,All causes,"DALYs per 100,000",61307.97165,55248.05838,66800.23653
Ghana,1997,All ages,Both,All causes,"DALYs per 100,000",61458.09366,55722.6239,66699.97954
Ghana,1998,All ages,Both,All causes,"DALYs per 100,000",60010.96364,54526.58522,64855.08049
Ghana,1999,All ages,Both,All causes,"DALYs per 100,000",59646.86994,54351.25243,64200.49767
Ghana,2000,All ages,Both,All causes,"DALYs per 100,000",59302.72533,53879.13615,64681.65164
Ghana,2001,All ages,Both,All causes,"DALYs per 100,000",59278.3282,54018.93491,64100.94008
Ghana,2002,All ages,Both,All causes,"DALYs per 100,000",58914.14076,53756.25804,63679.99484
Ghana,2003,All ages,Both,All causes,"DALYs per 100,000",58419.34987,53626.67375,63455.99934
Ghana,2004,All ages,Both,All causes,"DALYs per 100,000",57823.35178,53435.43272,62986.3281
Ghana,2005,All ages,Both,All causes,"DALYs per 100,000",57181.46786,52492.74988,62038.79764
Ghana,2006,All ages,Both,All causes,"DALYs per 100,000",56383.61266,51889.93532,61012.92036
Ghana,2007,All ages,Both,All causes,"DALYs per 100,000",55471.10524,51274.29443,59562.42683
Ghana,2008,All ages,Both,All causes,"DALYs per 100,000",54191.09469,49729.10135,58322.62964
Ghana,2009,All ages,Both,All causes,"DALYs per 100,000",53109.49367,48042.24,57435.25226
Ghana,2010,All ages,Both,All causes,"DALYs per 100,000",51949.64524,47645.34103,56403.27514
Ghana,2011,All ages,Both,All causes,"DALYs per 100,000",49800.71013,44796.77878,54488.12901
Ghana,2012,All ages,Both,All causes,"DALYs per 100,000",47377.69541,42598.36642,51671.94841
Ghana,2013,All ages,Both,All causes,"DALYs per 100,000",45304.87147,40618.46467,49318.15602
Ghana,2014,All ages,Both,All causes,"DALYs per 100,000",43585.06538,38900.02236,47643.74353
Ghana,2015,All ages,Both,All causes,"DALYs per 100,000",41886.54406,37347.71633,46091.16288
Ghana,2016,All ages,Both,All causes,"DALYs per 100,000",40267.79913,36164.34502,44794.35198
Taiwan,1990,All ages,Both,All causes,"DALYs per 100,000",23253.42776,20715.72215,26135.69242
Taiwan,1991,All ages,Both,All causes,"DALYs per 100,000",23001.91032,20582.746,25359.42417
Taiwan,1992,All ages,Both,All causes,"DALYs per 100,000",22990.43605,20639.09671,25381.25031
Taiwan,1993,All ages,Both,All causes,"DALYs per 100,000",23064.14699,20698.69638,25242.86972
Taiwan,1994,All ages,Both,All causes,"DALYs per 100,000",23234.38474,20867.20433,25572.2194
Taiwan,1995,All ages,Both,All causes,"DALYs per 100,000",23599.62178,21158.79851,26401.61339
Taiwan,1996,All ages,Both,All causes,"DALYs per 100,000",23642.91903,21136.88654,26213.56198
Taiwan,1997,All ages,Both,All causes,"DALYs per 100,000",23485.56348,20964.62475,25962.49091
Taiwan,1998,All ages,Both,All causes,"DALYs per 100,000",23435.97838,20697.98331,25850.39503
Taiwan,1999,All ages,Both,All causes,"DALYs per 100,000",23918.43931,21182.01518,26101.68814
Taiwan,2000,All ages,Both,All causes,"DALYs per 100,000",23270.67669,20642.62896,26165.27365
Taiwan,2001,All ages,Both,All causes,"DALYs per 100,000",23078.88088,20629.16427,25268.5262
Taiwan,2002,All ages,Both,All causes,"DALYs per 100,000",22936.99753,20420.07365,25302.627
Taiwan,2003,All ages,Both,All causes,"DALYs per 100,000",22923.19857,20454.20662,25627.52082
Taiwan,2004,All ages,Both,All causes,"DALYs per 100,000",23193.69342,20442.89641,25928.92571
Taiwan,2005,All ages,Both,All causes,"DALYs per 100,000",23403.99764,20837.71718,26374.78234
Taiwan,2006,All ages,Both,All causes,"DALYs per 100,000",23374.44798,20839.95057,26300.79314
Taiwan,2007,All ages,Both,All causes,"DALYs per 100,000",23402.74777,20874.56988,25954.80481
Taiwan,2008,All ages,Both,All causes,"DALYs per 100,000",23426.00872,20856.34543,26038.81762
Taiwan,2009,All ages,Both,All causes,"DALYs per 100,000",23565.23577,20800.41258,26348.93386
Taiwan,2010,All ages,Both,All causes,"DALYs per 100,000",23537.40181,20801.97834,26814.12531
Taiwan,2011,All ages,Both,All causes,"DALYs per 100,000",23803.06374,20872.9417,26649.27851
Taiwan,2012,All ages,Both,All causes,"DALYs per 100,000",23943.0562,21051.25045,26665.28922
Taiwan,2013,All ages,Both,All causes,"DALYs per 100,000",24039.34777,21231.91669,26731.77282
Taiwan,2014,All ages,Both,All causes,"DALYs per 100,000",24330.93341,21560.02775,27116.07667
Taiwan,2015,All ages,Both,All causes,"DALYs per 100,000",24615.15873,21567.06263,27966.78976
Taiwan,2016,All ages,Both,All causes,"DALYs per 100,000",24898.56153,21581.69584,28471.88755